layer,expert,total_mass,selectivity,top_category,share_computational,share_creative,share_factual,share_reasoning,share_social_ethical,share_symbolic
3,3,1571.8907470703125,0.3033768377537843,symbolic,0.06068015130004988,0.032444770022417614,0.2208865949326893,0.2680045063539606,0.11460713963709826,0.3033768377537843
3,4,2336.5992431640625,0.3098093396514292,symbolic,0.08868981043779352,0.0628459088800147,0.2285362199598452,0.2217333289937043,0.08838539207721308,0.3098093396514292
3,5,2609.94384765625,0.32772421431330934,symbolic,0.08596469893819929,0.051904805557920104,0.22432965118943943,0.20159120438751657,0.1084854256136153,0.32772421431330934
3,6,1199.1243896484375,0.27119071970952113,symbolic,0.08248358711449913,0.0692189033196525,0.23835293636195112,0.26290647665985933,0.0758473768345168,0.27119071970952113
3,7,2190.7452392578125,0.3937330138296506,symbolic,0.0692603077409992,0.06922498068574048,0.18488096760470027,0.2057374703878203,0.07716325975108913,0.3937330138296506
3,8,1464.4765625,0.3031108131104864,factual,0.07485943143081199,0.07059686294697871,0.3031108131104864,0.18323251361674658,0.17319458077491426,0.1950057981200621
3,9,1288.6522216796875,0.2547167711238397,factual,0.16521802062190438,0.04892864101917287,0.2547167711238397,0.22038349516356484,0.13270530516388787,0.17804776690763036
3,10,2423.4542236328125,0.3241281630017765,symbolic,0.06724743044316314,0.056527807447331345,0.17663386530667982,0.2540570193719952,0.121405714429054,0.3241281630017765
3,11,1800.6092529296875,0.29919045277575657,symbolic,0.09649104907050843,0.023473635734324136,0.24960925294450914,0.22193971753402966,0.10929589194087207,0.29919045277575657
3,12,2472.7181396484375,0.34132429643472095,symbolic,0.15144851972751275,0.03491742184375618,0.18248624997389729,0.19808104131674825,0.09174247070336461,0.34132429643472095
3,13,1086.5040283203125,0.2710376702082468,symbolic,0.05426137286067374,0.08288065994348047,0.21116288141494527,0.18173230444863467,0.19892511112401903,0.2710376702082468
3,14,1521.7437744140625,0.2813255923552828,symbolic,0.0662302038524401,0.016391861945873318,0.25718465040259103,0.19559357859800058,0.18327411284581216,0.2813255923552828
3,15,1432.49462890625,0.3356380351557001,symbolic,0.04946665512284793,0.029790636485943413,0.24172134357779074,0.22973267310870835,0.11365065654900948,0.3356380351557001
3,16,1991.92529296875,0.27057997584486,symbolic,0.08837848265813417,0.05278482731673262,0.2069464780045805,0.24631336281270352,0.13499687336298918,0.27057997584486
3,17,1765.4486083984375,0.4095900067450046,factual,0.1577745426032952,0.029450951094049427,0.4095900067450046,0.13254691166256585,0.13014408588247375,0.14049350201261118
3,18,1604.6387939453125,0.27551674561689854,symbolic,0.08969828608934927,0.053301277021172974,0.25082933307752386,0.2271028795984177,0.10355147859663766,0.27551674561689854
3,19,1463.9154052734375,0.43322488960712185,symbolic,0.05297565665573891,0.030937439935892704,0.18631891294441186,0.2347759559287365,0.061767144928098185,0.43322488960712185
3,20,1799.2696533203125,0.3141572810202599,reasoning,0.13601126813539322,0.02403983767013756,0.21652876055056247,0.3141572810202599,0.10950535553264376,0.1997574970910031
3,21,1455.4579467773438,0.43051849343185294,reasoning,0.06540029421011453,0.05220524860477905,0.1964970720939748,0.43051849343185294,0.06422258149644915,0.19115631016282955
3,22,1249.00439453125,0.25222247329024955,symbolic,0.05595443011054508,0.09492883198766518,0.21074383073080474,0.22463604800855055,0.16151438587218492,0.25222247329024955
3,23,1254.5452880859375,0.37230811594752866,factual,0.021613498183120264,0.01875163893790499,0.37230811594752866,0.161792155185709,0.23527057618123942,0.19026401556449765
3,24,1763.727783203125,0.4215195836123135,symbolic,0.05844962832711975,0.06460419513279549,0.1857917294703698,0.16074580415432568,0.1088890593030758,0.4215195836123135
3,25,798.3507080078125,0.3531297509865691,factual,0.08340987408581137,0.03754811287736298,0.3531297509865691,0.19634090606412236,0.1299101587149655,0.19966119727116863
3,26,1513.078857421875,0.3085253077374991,reasoning,0.0552781888259126,0.06622723644472972,0.2396216195022211,0.3085253077374991,0.08660433256835622,0.24374331492128126
3,27,1646.9656982421875,0.28987477934052935,factual,0.08717032083518289,0.05528447607583281,0.28987477934052935,0.23001742595562402,0.14541322921390937,0.1922397685789215
3,28,1548.76025390625,0.3122586393287726,factual,0.048810146472370634,0.027699905512883444,0.3122586393287726,0.17739672387913594,0.21940944133428295,0.21442514347255445
3,29,1702.5241088867188,0.31457615403657146,reasoning,0.13566655810150907,0.04337094993556894,0.2092237244684415,0.31457615403657146,0.08421197917628263,0.2129506342816264
3,30,1565.895751953125,0.2926471984557311,symbolic,0.057601612370864634,0.038392889577946926,0.25374946853782926,0.23414831735217945,0.12346051370544858,0.2926471984557311
3,31,2357.982666015625,0.28942467807730493,reasoning,0.11867174927422505,0.033456726377331325,0.199198782145548,0.28942467807730493,0.07842205515113068,0.28082600897446
3,32,1048.3681640625,0.26075809316748777,symbolic,0.1358918808900365,0.07670461161272774,0.17487429310246858,0.18955007270413748,0.1622210485231419,0.26075809316748777
3,33,2177.4644775390625,0.2733674560227167,factual,0.07925225486185536,0.05602460035826189,0.2733674560227167,0.1999450716677947,0.1281818054917008,0.26322881159767053
3,34,2082.7645263671875,0.26253974693598475,reasoning,0.14715590024080988,0.012534633235117065,0.2248489875780733,0.26253974693598475,0.11905633375956298,0.23386439825045202
3,35,2133.306884765625,0.2524292388726285,factual,0.10892163847093594,0.0636089963120957,0.2524292388726285,0.21141768305767036,0.11338849453967001,0.25023394874699945
3,36,1718.63134765625,0.36793164982696247,symbolic,0.12956618880223833,0.12012150270601067,0.1847097683163923,0.10732892924142207,0.09034196110697415,0.36793164982696247
3,37,1864.4012451171875,0.32683741265323024,symbolic,0.110317533846106,0.02847043918504175,0.2565644667857207,0.20882246160343215,0.06898768592646912,0.32683741265323024
3,38,1633.67431640625,0.32881329083184263,factual,0.07503067310465618,0.030910569032792202,0.32881329083184263,0.2745085204728963,0.05988107353624657,0.23085587302156607
3,39,1142.50244140625,0.2788197508809344,symbolic,0.04248390384833183,0.04048013864166216,0.23589853174035033,0.18402575811645644,0.21829191677226484,0.2788197508809344
3,40,2076.0181884765625,0.2914002159496637,symbolic,0.10086682686588806,0.07361810237481714,0.23859280270099956,0.18464237210409684,0.11087968000453467,0.2914002159496637
3,41,1588.50537109375,0.3993331763625337,reasoning,0.03561490185687644,0.05249128643000757,0.24359811192407368,0.3993331763625337,0.09377350527578653,0.1751890181507221
